Time,CognitiveLoadValue,StandardDeviation,DataState
09:48:13,0.2906783,0.1244534,0
09:48:14,0.3082088,0.1169403,0
09:48:15,0.3597553,0.153107,0
09:48:16,0.3917085,0.1694683,0
09:48:17,0.7143681,0.1629738,0
09:48:18,0.6580612,0.1608325,0
09:48:19,0.6723389,0.158967,0
09:48:20,0.7088393,0.1452569,0
09:48:21,0.6951784,0.1387674,0
09:48:22,0.708891,0.1427507,0
09:48:23,0.7095368,0.1353488,0
09:48:24,0.7030649,0.1307494,0
09:48:25,0.7021302,0.1193734,0
09:48:26,0.7254845,0.1105014,0
09:48:27,0.7319774,0.1062813,0
09:48:28,0.7323194,0.1043062,0
09:48:29,0.5562178,0.1023774,0
